Date,Brent_Crude_GBP,WTI_Crude_GBP,GBP Curncy,GBPEUR Curncy,UKX Index,SPX Index,SX5E Index,Natural_Gas,CPI,RPI,GBP_IRS_2y,GBP_IRS_10y,Nationwide_HPI,RPI YOY
2018-05-01,57.50957701489367,50.735321275618475,1.3390208333333333,1.1372541666666667,7569.548260869565,2041.175044518906,3046.6053103051577,16.49729178321548,105.8,280.7,1.0179690476190477,1.5804917391304347,426.1,3.312476996687523
2018-06-01,57.15918138332787,50.15139022412596,1.3285954545454546,1.1341954545454547,7484.365454545455,2068.4957798905884,2993.604998336826,16.359552637611145,105.8,281.5,1.0157095238095237,1.5498181818181818,429.8,3.3786265148732975
2018-07-01,56.788850750209505,50.855988310212325,1.3198333333333334,1.1257190476190477,7539.905499999999,2114.566774304115,3054.8170270007313,16.76158605884581,105.8,281.7,1.0587113636363636,1.5446214285714286,432.9,3.224624404543793
2018-08-01,56.61936051686719,51.18898790176057,1.3041782608695651,1.1205260869565217,7515.256363636364,2169.0526435103234,3051.270172007714,18.001582629984323,106.5,284.2,1.0943681818181819,1.5551886363636362,428.4,3.458318165271205
2018-09-01,59.62235812185747,51.85635791370134,1.3268428571428572,1.127495238095238,7408.934761904762,2142.823099588353,3022.1886693640345,18.939516288217288,106.6,284.1,1.1262925,1.6215523809523809,428.7,3.2715376226826605
2018-10-01,61.72924591375866,51.80424210165586,1.3061809523809524,1.1305476190476191,7168.418571428572,2096.801653675929,2885.432681170103,18.683147525683744,106.7,284.5,1.1512869565217392,1.5909047619047618,428.0,3.341808935706498
2018-11-01,50.691431007134426,44.86067729259981,1.300990909090909,1.1298545454545454,7149.529545454545,2088.123005807428,2872.8291654597533,18.60033261360222,107.0,284.6,1.1724386363636363,1.5651059090909092,427.0,3.1907179115300983
2018-12-01,44.44452448360779,42.179317507915506,1.2976739130434782,1.1200782608695652,7007.418571428572,2015.548374028933,2842.4089524948163,17.86273097348098,107.1,285.6,1.1541105263157896,1.5146357142857143,423.5,2.6968716289104635
2019-01-01,46.60570180937499,42.191478899070816,1.2925652173913043,1.1399347826086956,7037.509545454545,2121.6414948366914,2837.8401787773037,15.390906185879109,106.3,283.0,1.141816818181818,1.3442439130434782,422.8,2.536231884057971
2019-02-01,50.059241476025655,43.49597654339692,1.287105,1.14337,7212.3949999999995,2191.5927604973954,2898.8428942512046,13.407882761061819,106.8,285.0,1.069154,1.227099,421.5,2.481121898597618
2019-03-01,51.524413680006724,44.45819164162277,1.3008904761904763,1.1557285714285714,7234.374761904762,2180.7970364622033,2912.6426125758644,11.597926078396657,107.0,285.1,1.037452380952381,1.1855738095238095,425.1,2.44340639597557
2019-04-01,55.55597525898641,46.837266038421,1.2893045454545453,1.1491681818181818,7340.2294999999995,2247.530663112954,3000.9819751045225,12.095237311791692,107.6,288.2,1.0207169999999999,1.230792380952381,428.7,3.038970325348588
2019-05-01,55.17931334548568,46.12693980042486,1.2740833333333332,1.1392875,7274.922608695652,2246.048565749175,2974.931335008357,10.719471515468637,107.9,289.2,0.9680261904761904,1.151045652173913,428.8,3.028143925899537
2019-06-01,49.584098605009686,44.136281939850626,1.271335,1.12936,7344.8910526315785,2297.683930671302,3044.2529397180706,9.364866343600369,107.9,289.6,0.8427994999999999,1.023287894736842,431.9,2.877442273534644
2019-07-01,51.26285590183947,44.61753681697572,1.252657142857143,1.1189380952380952,7411.195238095238,2345.4375080780665,3076.576005311158,13.086467623109732,107.9,289.5,0.7369978260869565,0.9960861904761904,434.2,2.7689030883919106
2019-08-01,48.062857982082534,44.97927934255812,1.238,1.1117565217391303,7182.645,2325.2475942965516,3025.5201326533806,13.769328409877682,108.4,291.7,0.6682933333333333,0.8385136363636363,431.1,2.638986629134412
2019-09-01,49.80222345836526,45.97702068458211,1.25069,1.1294600000000001,7304.19,2364.374465295157,3089.1943937810984,11.011699319753273,108.5,291.0,0.7347352380952381,0.847118,429.6,2.4287222808870035
2019-10-01,46.510833534361105,43.50522042791555,1.2821136363636363,1.1502363636363635,7253.390454545454,2319.7656568521443,3077.1003588195317,11.933976717625876,108.3,290.4,0.7361378260869565,0.9514277272727273,429.6,2.0738137082600976
2019-11-01,48.74296805436402,44.19694660381643,1.2865347826086957,1.158291304347826,7305.7591304347825,2349.7774762184044,3094.163066285796,12.310199626228865,108.5,291.0,0.7881566666666667,1.0019921739130435,430.4,2.248770203794791
2019-12-01,50.33062259412911,45.70225730008236,1.2949136363636364,1.1602545454545454,7446.514,2391.8083423638373,3121.7938461779545,10.915356860505888,108.5,291.9,0.7994805,1.0243709523809525,429.5,2.20588235294116
2020-01-01,49.02197669103788,37.43463375615964,1.2988608695652173,1.1608434782608696,7036.697727272727,2497.2688283314988,3060.333105885253,7.781993829801608,108.2,290.6,0.6923304545454546,0.710235652173913,430.7,2.685512367491174
2020-02-01,42.94398982638505,35.96527700984187,1.2918571428571428,1.1640142857142857,6796.644285714286,2501.024604666593,3019.8807083860042,7.418629510855543,108.6,292.0,0.6833175,0.6453,431.1,2.456140350877193
2020-03-01,27.211756835098562,25.801735744174167,1.239504347826087,1.1118217391304348,5813.3821739130435,2243.0531169860706,2631.2835573422385,6.975789761685947,108.6,292.6,0.4969272727272727,0.6144013043478261,438.0,2.630655910206945
2020-04-01,21.072957183448857,17.991583642053016,1.2637727272727273,1.1396318181818181,6002.315714285714,2370.656763658598,2666.200692522591,5.995653089851558,108.5,292.6,0.4701255,0.5246490476190476,444.7,1.5267175572519203
2020-05-01,25.990237003163195,28.04783553327943,1.24708,1.123495,6134.46,2450.2885055278607,2722.79271380825,4.950511763901527,108.5,292.2,0.32783850000000003,0.45977736842105266,436.7,1.0373443983402488
2020-06-01,32.3382862510867,31.462163672895926,1.2608190476190475,1.1183190476190477,6267.593333333333,2475.3191425075165,2906.0933288481433,5.429803755684135,108.6,292.7,0.24318681818181817,0.4539323809523809,431.7,1.0704419889502643
2020-07-01,33.762927155091894,31.98666387415588,1.2801666666666667,1.1126875,6244.11,2520.160305213881,2990.6761032784734,5.2914659549537815,109.1,294.2,0.13942695652173914,0.40633625,440.7,1.6234887737478374
2020-08-01,34.536521214999354,31.706149884016142,1.3035476190476192,1.117147619047619,6163.494210526315,2569.477068074302,2952.475053388519,6.921193465682141,108.6,293.3,0.1049385,0.4579585,447.1,0.5485087418580812
